train/value_loss,train/learning_rate,train/explained_variance,time/fps,time/iterations,time/time_elapsed,train/n_updates,train/std,train/entropy_loss,train/policy_loss,train/reward,time/total_timesteps
2.854012966156006,0.0007,-0.016061902046203613,243,100,2,99,1.0125566720962524,-11.45123291015625,14.846061706542969,-0.68778497,500
1.2878414392471313,0.0007,0.0,244,200,4,199,1.0136828422546387,-11.458934783935547,10.942647933959961,-3.2392704,1000
101.7477035522461,0.0007,0.0,242,300,6,299,1.0117640495300293,-11.442352294921875,-108.80723571777344,2.296795,1500
3.9833359718322754,0.0007,0.0,248,400,8,399,1.0135295391082764,-11.456668853759766,-18.056549072265625,-0.44324163,2000
397.57177734375,0.0007,5.960464477539063e-08,250,500,9,499,1.0160844326019287,-11.476207733154297,182.75477600097656,-15.591586,2500
5.692279815673828,0.0007,0.0,251,600,11,599,1.0136663913726807,-11.455690383911133,27.369430541992188,0.2330289,3000
31.8106632232666,0.0007,0.0,250,700,13,699,1.0122684240341187,-11.447774887084961,-65.09053039550781,-8.918382,3500
9.962268829345703,0.0007,0.0,249,800,16,799,1.0105340480804443,-11.432599067687988,33.404415130615234,-0.044470597,4000
3.188889980316162,0.0007,0.0,250,900,17,899,1.007386565208435,-11.406780242919922,19.034931182861328,-1.2883544,4500
20.365694046020508,0.0007,0.0,251,1000,19,999,1.005574107170105,-11.39033031463623,53.691307067871094,-8.759567,5000
362.95623779296875,0.0007,-1.1920928955078125e-07,251,1100,21,1099,1.0047396421432495,-11.383824348449707,-191.6909637451172,7.4325542,5500
11.249598503112793,0.0007,-1.1920928955078125e-07,253,1200,23,1199,1.0028940439224243,-11.369848251342773,-29.152273178100586,0.331651,6000
31.99371910095215,0.0007,-0.01079869270324707,254,1300,25,1299,1.0018959045410156,-11.361814498901367,40.01305389404297,-4.2731113,6500
15.720098495483398,0.0007,-0.10587239265441895,256,1400,27,1399,1.0034492015838623,-11.37452220916748,42.081886291503906,3.527686,7000
24.790771484375,0.0007,0.020072519779205322,257,1500,29,1499,1.002373218536377,-11.3640718460083,57.87554931640625,6.7649264,7500
12.112234115600586,0.0007,-0.022115111351013184,256,1600,31,1599,1.0063207149505615,-11.39832878112793,32.19081497192383,-0.049489442,8000
141.28280639648438,0.0007,0.0034497976303100586,250,1700,33,1699,1.0057783126831055,-11.39229679107666,-101.6001205444336,12.343373,8500
1.3130027055740356,0.0007,0.005649924278259277,252,1800,35,1799,1.0043773651123047,-11.378449440002441,3.912677049636841,2.9768488,9000
5.618533134460449,0.0007,-0.0013992786407470703,253,1900,37,1899,1.0027357339859009,-11.366206169128418,-11.213258743286133,1.3067911,9500
1.8803861141204834,0.0007,0.04237741231918335,254,2000,39,1999,1.0017127990722656,-11.355663299560547,-9.152250289916992,-0.5823212,10000
6.800057888031006,0.0007,-1.1920928955078125e-07,255,2100,41,2099,1.0064653158187866,-11.395697593688965,7.436976432800293,3.655028,10500
41.954776763916016,0.0007,-0.01951146125793457,256,2200,42,2199,1.0084115266799927,-11.414199829101562,-6.433592796325684,-13.327685,11000
14229.7626953125,0.0007,-2.384185791015625e-07,257,2300,44,2299,1.0069810152053833,-11.40001392364502,-1239.4088134765625,15.952341,11500
28.42136573791504,0.0007,9.98377799987793e-05,257,2400,46,2399,1.005552887916565,-11.389850616455078,43.32247543334961,0.37031364,12000
13.282587051391602,0.0007,0.011296570301055908,258,2500,48,2499,1.0086272954940796,-11.410689353942871,-37.99191665649414,1.9715408,12500
7.40768575668335,0.0007,-0.006120562553405762,258,2600,50,2599,1.0131231546401978,-11.448241233825684,27.311786651611328,3.6931682,13000
3.6203341484069824,0.0007,0.014914870262145996,259,2700,52,2699,1.0156551599502563,-11.468395233154297,9.2503080368042,-1.7333504,13500
163.05662536621094,0.0007,0.13352429866790771,259,2800,53,2799,1.0191892385482788,-11.491623878479004,143.66665649414062,5.7239776,14000
0.8712564706802368,0.0007,0.0,260,2900,55,2899,1.0175375938415527,-11.477136611938477,-10.054739952087402,0.7372443,14500
2.2674782276153564,0.0007,-0.012026548385620117,260,3000,57,2999,1.0158289670944214,-11.463922500610352,11.714284896850586,0.9154652,15000
8.084794998168945,0.0007,-0.7092016935348511,260,3100,59,3099,1.0217697620391846,-11.51209545135498,-17.942697525024414,0.74288523,15500
61.08481979370117,0.0007,-0.08357179164886475,261,3200,61,3199,1.0237280130386353,-11.525732040405273,-15.633016586303711,-1.3653257,16000
82.67672729492188,0.0007,-0.024033069610595703,261,3300,63,3299,1.0233256816864014,-11.524603843688965,86.41715240478516,-2.835574,16500
38.80223846435547,0.0007,-0.0018262863159179688,262,3400,64,3399,1.022881031036377,-11.517199516296387,0.9188781976699829,30.562641,17000
30.203380584716797,0.0007,0.0,262,3500,66,3499,1.0199801921844482,-11.496888160705566,61.039154052734375,0.29656655,17500
12.1788330078125,0.0007,0.013538777828216553,262,3600,68,3599,1.018351674079895,-11.485015869140625,-35.95474624633789,1.1817856,18000
30.315799713134766,0.0007,0.14641660451889038,262,3700,70,3699,1.0184999704360962,-11.480033874511719,69.33894348144531,-1.0236704,18500
1.7521965503692627,0.0007,0.01177138090133667,263,3800,72,3799,1.0182557106018066,-11.47637939453125,-2.572409152984619,1.1907343,19000
42.672149658203125,0.0007,-0.001676321029663086,263,3900,73,3899,1.0205485820770264,-11.49415397644043,-61.38258743286133,2.8145509,19500
30.571720123291016,0.0007,0.018143057823181152,263,4000,75,3999,1.0197994709014893,-11.487802505493164,41.640830993652344,5.2570167,20000
