time/fps,time/iterations,time/time_elapsed,train/reward,time/total_timesteps,train/learning_rate,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/value_loss,train/n_updates,train/loss,train/entropy_loss,train/std
191,1,10,-0.013240621,2048,,,,,,,,,,,
181,2,22,0.5676738,4096,0.00025,-0.007364392280578613,0.0900390625,-0.009607745005268953,0.2,0.008418084,4.340071673691273,10,2.585211753845215,-11.360845094919204,1.002061128616333
177,3,34,-0.3952839,6144,0.00025,0.013359427452087402,0.078857421875,-0.00860051988856867,0.2,0.009255592,45.433260184526446,20,35.6174201965332,-11.36101593375206,0.9998054504394531
174,4,47,-0.63799644,8192,0.00025,0.08675098419189453,0.093310546875,-0.00585762104819878,0.2,0.007030284,43.438043066859244,30,17.56659698486328,-11.343981239199639,0.9981544613838196
173,5,59,2.566349,10240,0.00025,0.31524115800857544,0.1220703125,-0.01182817154622171,0.2,0.010222232,8.009617793560029,40,2.89510178565979,-11.356680148839951,1.0030347108840942
173,6,70,2.2875934,12288,0.00025,0.02722567319869995,0.057421875,-0.007430658492376096,0.2,0.008348336,47.55015639364719,50,25.229610443115234,-11.374398297071457,1.003061056137085
172,7,83,1.8836776,14336,0.00025,0.029098868370056152,0.06787109375,-0.005284266474336619,0.2,0.007815599,70.21927269101143,60,36.50347137451172,-11.385615390539169,1.0059458017349243
171,8,95,-0.18471754,16384,0.00025,0.05046325922012329,0.100537109375,-0.008628316412796266,0.2,0.0077115335,24.117520490288733,70,9.13400650024414,-11.398016121983527,1.0059728622436523
170,9,108,0.26954967,18432,0.00025,0.0004563331604003906,0.1232421875,-0.011275551137805451,0.2,0.011871785,30.552894826233388,80,7.989380836486816,-11.388325268030167,1.0043312311172485
170,10,120,0.11560987,20480,0.00025,-0.006345868110656738,0.11884765625,-0.004862255883199396,0.2,0.009900564,37.24568735063076,90,21.70924186706543,-11.392573288083076,1.0063828229904175
170,11,132,-5.1669416,22528,0.00025,0.018099308013916016,0.1001953125,-0.004021832584840013,0.2,0.009877464,35.679053243994716,100,7.560242652893066,-11.415102332830429,1.0109034776687622
176,12,139,0.2538556,24576,0.00025,-0.02926814556121826,0.155322265625,-0.006854414632834959,0.2,0.01308647,11.534901264309884,110,4.762808799743652,-11.448385971784592,1.013852834701538
181,13,147,0.38033915,26624,0.00025,0.024227678775787354,0.110400390625,-0.0047326042535132725,0.2,0.010130123,22.458116839826108,120,18.089265823364258,-11.480820533633231,1.0199862718582153
185,14,154,-2.1960201,28672,0.00025,0.026672065258026123,0.07490234375,-0.006552365790412296,0.2,0.007545679,60.836032301187515,130,30.05381965637207,-11.527420371770859,1.0248326063156128
190,15,161,4.3613353,30720,0.00025,-0.0414348840713501,0.1115234375,-0.007471683924813987,0.2,0.0092271725,26.752124071121216,140,20.737417221069336,-11.56165916621685,1.0275028944015503
195,16,167,-0.35241175,32768,0.00025,-0.003102898597717285,0.12333984375,-0.006211283073935192,0.2,0.014148386,38.4160020172596,150,10.707390785217285,-11.568241968750954,1.027683138847351
198,17,175,0.15244891,34816,0.00025,-0.010101079940795898,0.091796875,-0.00758234966560849,0.2,0.009013707,80.90698609948159,160,44.261470794677734,-11.577188989520073,1.030539631843567
196,18,187,-0.23023285,36864,0.00025,-0.0024935007095336914,0.158056640625,-0.006955824047327042,0.2,0.011095291,68.42255183458329,170,43.200443267822266,-11.599250102043152,1.0323936939239502
195,19,199,-0.9152955,38912,0.00025,-0.012393474578857422,0.1359375,-0.008121923764701933,0.2,0.011827391,10.750537225604058,180,4.059523582458496,-11.626864090561867,1.0380771160125732
193,20,211,0.094247796,40960,0.00025,0.017243504524230957,0.118408203125,-0.010489403953397414,0.2,0.010873556,29.905617764592172,190,39.09317398071289,-11.668061095476151,1.0416072607040405
191,21,224,-9.29403,43008,0.00025,0.013633489608764648,0.085400390625,-0.007183960523980204,0.2,0.008116199,83.03356871008873,200,50.21595764160156,-11.68139291703701,1.0427504777908325
190,22,236,1.5243677,45056,0.00025,0.017254352569580078,0.148291015625,-0.012913570925593375,0.2,0.011994912,32.15150545239449,210,23.615171432495117,-11.705048713088036,1.0472910404205322
189,23,248,0.2779133,47104,0.00025,0.0783279538154602,0.143359375,-0.012876372914615786,0.2,0.011427312,47.73858313858509,220,6.726015090942383,-11.715190985798836,1.0457431077957153
188,24,260,3.1152675,49152,0.00025,0.15534579753875732,0.14619140625,-0.014607776538468897,0.2,0.012805929,54.03063159584999,230,31.756349563598633,-11.719395807385444,1.0491853952407837
187,25,272,-0.40883943,51200,0.00025,0.13095623254776,0.11416015625,-0.01164728245785227,0.2,0.012191557,34.41230245232582,240,30.850261688232422,-11.741318953037261,1.052437663078308
