,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2020-07-01,aapl,91.27999877929688,91.83999633789062,90.97750091552734,89.13300323486328,110737200.0,2.0,2.988731426716697,91.90372889013717,79.49180715112259,62.80713858519927,107.50545675871629,29.730531783249663,83.21340662638346,77.050532913208,28.6200008392334,14.645262579893608
0,2020-07-01,amzn,137.89950561523438,144.75,137.6999969482422,143.93499755859375,127268000.0,2.0,4.503504218339543,142.93701039602198,121.8372396344956,67.91097804164647,160.23349711528382,52.64571373650686,129.05663350423177,122.77706693013509,28.6200008392334,14.645262579893608
0,2020-07-01,cat,129.3800048828125,129.39999389648438,125.87999725341797,116.09517669677734,2807800.0,2.0,1.2245682343938569,125.69119089430728,109.07229024582944,52.86542530359123,35.79709527751123,14.457404372847108,114.90315246582031,109.35475476582845,28.6200008392334,14.645262579893608
0,2020-07-01,hd,249.64999389648438,250.3300018310547,246.92999267578125,228.23284912109375,3677300.0,2.0,2.1874027594224117,237.7211380678538,219.25406029640405,55.50969964563973,20.613725526931145,8.254305556136107,227.20166524251303,212.88153177897135,28.6200008392334,14.645262579893608
0,2020-07-01,ibm,114.98088073730469,115.8986587524414,113.16443634033203,95.28843688964844,4869967.0,2.0,-1.017656560971517,108.09983968606055,90.30010004172264,47.48971707480805,-74.2715186990322,5.476160686110963,99.24016240437825,97.82975285847982,28.6200008392334,14.645262579893608
0,2020-07-01,intc,59.90999984741211,60.029998779296875,58.7599983215332,53.12790298461914,14748100.0,2.0,-0.5211005395228128,58.24088835873427,51.03491158328234,48.71406544983675,-79.05444956234129,8.42366741494278,55.208988952636716,54.21301708221436,28.6200008392334,14.645262579893608
0,2020-07-01,msft,203.13999938964844,206.35000610351562,201.77000427246094,198.34632873535156,32061200.0,2.0,4.8924755810902525,200.6272676352843,176.39454632955946,61.18488975847466,140.8128243160536,33.01514568936887,184.9010442097982,177.63656565348307,28.6200008392334,14.645262579893608
0,2020-07-01,t,22.756797790527344,23.021148681640625,22.545316696166992,16.804649353027344,41007987.0,2.0,-0.12890355355965255,18.564253858302468,15.947098490025166,47.51642800542539,-51.080211871194926,0.8025043128059131,17.260078938802085,17.002403243382773,28.6200008392334,14.645262579893608
1,2020-07-02,aapl,91.9625015258789,92.61750030517578,90.91000366210938,89.13300323486328,114041600.0,3.0,2.908268540849008,91.70261056667728,80.71593191379147,62.80713858519927,104.54523775949306,33.335608525380636,83.57962290445964,77.48047955830891,27.68000030517578,1.0747855932710169
1,2020-07-02,amzn,145.60049438476562,147.7779998779297,143.55499267578125,144.51499938964844,131868000.0,3.0,4.874284367703638,144.36887753605487,122.55387255549788,68.22799911238096,177.49725153304828,56.917344825378294,129.71056671142577,123.50931688944499,27.68000030517578,1.0747855932710169
1,2020-07-02,cat,128.25,130.33999633789062,127.19000244140625,117.62395477294922,2527500.0,3.0,1.295292812024087,125.60970142528258,109.03958141163149,53.81242748643492,50.5717864557127,16.8108104972179,115.27245432535807,109.46080462137859,27.68000030517578,1.0747855932710169
